state,visited
Alabama,13
Alaska,7
Arizona,61
Arkansas,20
California,114
Colorado,44
Connecticut,1
District of Columbia,1
Florida,64
Georgia,44
Hawaii,11
Idaho,13
Illinois,20
Indiana,18
Iowa,9
Kansas,7
Kentucky,20
Louisiana,15
Maine,3
Maryland,12
Massachusetts,3
Michigan,20
Minnesota,12
Mississippi,10
Missouri,24
Montana,6
Nebraska,1
Nevada,21
New Hampshire,2
New Jersey,12
New Mexico,20
New York,15
North Carolina,25
North Dakota,4
Ohio,32
Oklahoma,33
Oregon,16
Pennsylvania,23
Rhode Island,1
South Carolina,12
South Dakota,3
Tennessee,26
Texas,83
Utah,19
Vermont,2
Virginia,18
Washington,22
West Virginia,7
Wisconsin,12
Wyoming,4
